init_cas9_virus	init_junk	virus_kill_density
58	210	0.879310
61	210	0.967213
64	210	0.937500
67	210	0.940299
70	210	0.957143
73	210	0.931507
76	210	0.960526
79	210	0.949367
82	210	0.963415
85	210	0.964706
88	210	0.965909
1	220	0.000000
4	220	0.500000
7	220	0.857143
10	220	0.700000
13	220	0.769231
16	220	0.937500
19	220	0.842105
22	220	0.909091
25	220	0.920000
28	220	0.857143
31	220	0.903226
34	220	0.911765
37	220	0.945946
40	220	0.900000
43	220	0.930233
46	220	0.913043
49	220	0.959184
52	220	0.903846
55	220	0.963636
58	220	0.931034
61	220	0.934426
64	220	0.968750
67	220	0.955224
70	220	0.957143
73	220	0.958904
76	220	0.934211
79	220	0.974684
82	220	0.951220
85	220	0.964706
88	220	0.931818
1	230	0.000000
4	230	0.500000
7	230	0.857143
10	230	0.900000
13	230	0.692308
16	230	0.750000
19	230	0.789474
22	230	0.909091
25	230	0.880000
28	230	0.857143
31	230	0.903226
34	230	0.970588
37	230	0.918919
40	230	0.925000
43	230	0.906977
46	230	0.934783
49	230	0.959184
52	230	0.942308
55	230	0.945455
58	230	0.965517
61	230	0.934426
64	230	0.968750
67	230	0.940299
70	230	0.957143
73	230	0.958904
76	230	0.881579
79	230	0.949367
82	230	0.939024
85	230	0.964706
88	230	0.965909
1	240	1.000000
4	240	0.750000
7	240	0.714286
10	240	0.700000
13	240	0.769231
16	240	0.875000
19	240	0.842105
22	240	0.818182
25	240	0.840000
28	240	0.928571
31	240	0.870968
34	240	0.911765
37	240	0.837838
40	240	0.975000
43	240	0.906977
46	240	0.934783
49	240	0.938776
52	240	0.923077
55	240	0.927273
58	240	0.965517
61	240	0.934426
64	240	0.953125
67	240	0.970149
70	240	0.957143
73	240	0.945205
76	240	0.960526
79	240	0.974684
82	240	0.975610
85	240	0.917647
88	240	0.954545
1	250	1.000000
4	250	0.500000
7	250	0.571429
10	250	0.900000
13	250	0.769231
16	250	0.875000
19	250	0.894737
22	250	0.818182
25	250	0.880000
28	250	0.892857
31	250	0.935484
34	250	0.882353
37	250	0.918919
40	250	0.900000
43	250	0.906977
46	250	0.978261
49	250	0.959184
52	250	0.923077
55	250	0.981818
58	250	0.948276
61	250	0.967213
64	250	0.953125
67	250	0.925373
70	250	0.957143
73	250	0.958904
76	250	0.960526
79	250	0.936709
82	250	0.951220
85	250	0.964706
88	250	0.965909
1	260	0.000000
4	260	0.750000
7	260	0.857143
10	260	0.800000
13	260	0.923077
16	260	0.875000
19	260	0.842105
22	260	0.863636
25	260	0.920000
28	260	0.857143
31	260	0.903226
34	260	0.882353
37	260	0.972973
40	260	0.900000
43	260	0.906977
46	260	0.913043
49	260	0.938776
52	260	0.903846
55	260	0.945455
58	260	0.982759
61	260	0.967213
64	260	0.937500
67	260	0.970149
70	260	0.957143
73	260	0.958904
76	260	0.947368
79	260	0.949367
82	260	0.926829
85	260	0.976471
88	260	0.965909
1	270	0.000000
4	270	0.500000
7	270	0.857143
10	270	0.800000
13	270	0.846154
16	270	0.687500
19	270	0.842105
22	270	0.863636
25	270	0.840000
28	270	0.928571
31	270	0.903226
34	270	0.882353
37	270	0.891892
40	270	0.925000
43	270	0.953488
46	270	0.913043
49	270	0.959184
52	270	0.942308
55	270	0.927273
58	270	0.965517
61	270	0.918033
64	270	0.921875
67	270	0.925373
70	270	0.942857
73	270	0.958904
76	270	0.947368
79	270	0.949367
82	270	0.963415
85	270	0.917647
88	270	0.943182
1	280	0.000000
4	280	0.750000
7	280	0.857143
10	280	0.700000
13	280	0.769231
16	280	0.875000
19	280	0.894737
22	280	0.863636
25	280	0.920000
28	280	0.821429
31	280	0.870968
34	280	0.970588
37	280	0.945946
40	280	0.850000
43	280	0.930233
46	280	0.934783
49	280	0.959184
52	280	0.903846
55	280	0.927273
58	280	0.931034
61	280	0.950820
64	280	0.953125
67	280	0.925373
70	280	0.942857
73	280	1.000000
76	280	0.960526
79	280	0.949367
82	280	0.951220
85	280	0.929412
88	280	0.943182
1	290	0.000000
4	290	1.000000
7	290	0.428571
10	290	0.800000
13	290	0.846154
16	290	0.875000
19	290	0.894737
22	290	0.863636
25	290	0.920000
28	290	0.928571
31	290	0.903226
34	290	0.941176
37	290	0.972973
40	290	0.925000
43	290	0.883721
46	290	0.913043
49	290	0.918367
52	290	0.961538
55	290	0.963636
58	290	0.948276
61	290	0.950820
64	290	0.937500
67	290	0.955224
70	290	0.957143
73	290	0.972603
76	290	0.907895
79	290	0.962025
82	290	0.963415
85	290	0.976471
88	290	0.954545
1	300	0.000000
4	300	0.500000
7	300	0.857143
10	300	0.900000
13	300	0.615385
16	300	0.875000
19	300	0.842105
22	300	0.909091
25	300	0.960000
28	300	0.964286
31	300	0.935484
34	300	0.852941
37	300	0.891892
40	300	0.950000
43	300	0.930233
46	300	0.913043
49	300	0.979592
52	300	0.903846
55	300	0.945455
58	300	0.913793
61	300	0.950820
64	300	0.953125
67	300	0.970149
70	300	0.957143
73	300	0.945205
76	300	0.973684
79	300	0.962025
82	300	0.951220
85	300	0.964706
88	300	0.965909
